player_id,total_bets,total_wagered,avg_bet,bet_volatility,total_won,net_loss,total_sessions,first_bet,last_bet,segment,preferred_game,days_active,lifetime_value,avg_daily_value
P000001,6758,2724149.92,403.10001775673277,281.3114469472275,1974993.21,-749156.35,98,2024-09-29 13:29:00,2024-12-30 19:46:04.953150,whale,SLOT_FORTUNE,93,749156.35,8055.444623655913
P000002,7207,3365678.79,467.00135840155406,225.2503922080878,2176482.73,-1189195.67,360,2024-05-08 22:04:00,2024-12-30 22:21:34.514691,whale,BLACKJACK_LIVE,237,1189195.67,5017.703248945148
P000003,7482,4192147.0900000003,560.2976597166534,262.66422896397336,5563240.82,1371095.82,419,2024-02-18 19:05:00,2024-12-30 21:54:02.471775,whale,ROULETTE_EURO,317,-1371095.82,-4325.223406940063
P000004,2859,798012.93,279.12309548793286,187.90286251051344,537004.54,-261008.16,76,2024-08-07 21:52:00,2024-12-28 07:32:58.236051,whale,BLACKJACK_LIVE,143,261008.16,1825.231888111888
P000005,2351,1420163.76,604.0679540621012,263.35814286548435,1877975.65,457812.18,82,2024-07-31 20:14:00,2024-12-29 00:46:06.824125,whale,ROULETTE_EURO,151,-457812.18,-3031.8687417218543
P000006,4912,1456255.9,296.4690350162866,167.95403429051208,986782.28,-469474.05,246,2024-06-25 12:08:00,2024-12-30 23:12:53.514233,whale,SLOT_FORTUNE,189,469474.05,2483.9896825396827
P000007,13088,5586338.74,426.829060207824,203.57619806864452,3673621.68,-1912717.95,264,2024-02-10 18:18:00,2024-12-30 22:01:07.306976,whale,SLOT_FORTUNE,325,1912717.95,5885.286
P000008,2392,1066268.46,445.764406354515,274.11852193635616,573878.27,-492389.73,179,2024-08-20 13:10:00,2024-12-30 19:10:37.302149,whale,BLACKJACK_LIVE,133,492389.73,3702.1784210526316
P000009,2851,1177104.98,412.8744230094704,197.949648634445,556726.79,-620377.68,127,2024-08-14 05:17:00,2024-12-30 21:58:54.969887,whale,SLOT_FORTUNE,139,620377.68,4463.148776978418
P000010,9601,4493014.61,467.97360795750444,311.57511087707974,2679870.04,-1813144.27,212,2024-08-20 00:08:00,2024-12-30 19:06:34.412956,whale,BLACKJACK_LIVE,133,1813144.27,13632.663684210527
P000011,7870,2330218.72,296.08878271918684,176.57946848227436,1573928.6,-756290.74,120,2024-09-21 08:37:00,2024-12-30 18:39:34.706824,whale,SLOT_FORTUNE,101,756290.74,7488.027128712871
P000012,14474,562259.89,38.84619939201327,18.517721348863596,444219.21,-118032.17000000001,233,2024-01-10 13:41:00,2024-12-28 03:45:17.823585,whale,SLOT_FORTUNE,353,118032.17000000001,334.3687535410765
P000013,91887,10976677.38,119.45843677560482,133.53471728905723,7880568.53,-3096108.87,146,2024-06-13 08:13:00,2024-12-30 21:21:13.321377,whale,SLOT_CLASSIC,201,3096108.87,15403.526716417911
P000014,7704,1599483.03,207.61721573208723,98.11050048298138,1309915.02,-289568.86,71,2024-08-20 16:52:00,2024-12-30 22:28:21.512139,whale,SLOT_FORTUNE,133,289568.86,2177.2094736842105
P000015,10773,5539086.930000001,514.1638290169869,395.0109540218905,3298405.39,-2240681.1300000004,339,2024-01-01 01:22:00,2024-12-30 23:49:08.303711,whale,BLACKJACK_LIVE,365,2240681.1300000004,6138.852410958905
P000016,234,93536.31999999999,399.72786324786324,202.32040608441224,47567.61,-45968.71,18,2024-12-19 19:27:00,2024-12-30 22:50:58.620161,whale,BLACKJACK_LIVE,12,45968.71,3830.7258333333334
P000017,163494,28126423.13,172.03336593391805,79.72025880098234,17540859.09,-10585493.219999999,539,2024-02-02 18:11:00,2024-12-31 01:30:25.957801,whale,BLACKJACK_LIVE,333,10585493.219999999,31788.267927927925
P000018,1318,575053.68,436.3077996965099,290.0720277386296,294696.85,-280357.07,79,2024-11-08 18:50:00,2024-12-31 00:01:07.749198,whale,BLACKJACK_LIVE,53,280357.07,5289.7560377358495
P000019,21121,3057467.5000000005,144.7595994507836,13.95461951591198,1977067.53,-1080400.0100000002,372,2024-02-26 20:46:00,2024-12-30 22:54:57.689197,whale,BLACKJACK_LIVE,309,1080400.0100000002,3496.4401618122984
P000020,8137,2365634.9699999997,290.7256937446233,173.63309858053577,1470056.14,-895578.64,161,2024-05-18 19:59:00,2024-12-30 23:08:50.413974,whale,BLACKJACK_LIVE,227,895578.64,3945.2803524229075
P000021,37553,10128673.41,269.71675791547943,126.96021640296826,14017747.4,3889053.01,285,2024-01-12 06:46:00,2024-12-30 21:35:53.915469,whale,ROULETTE_EURO,354,-3889053.01,-10986.0254519774
P000022,42946,5333475.13,124.19026521678387,119.19701439494153,4162015.2,-1171460.58,49,2024-11-25 19:27:00,2024-12-30 22:29:08.010148,whale,SLOT_CLASSIC,36,1171460.58,32540.57166666667
P000023,29330,8719231.78,297.28031980906917,164.79573823835833,6320898.0200000005,-2398325.77,186,2024-03-13 20:00:00,2024-12-30 19:04:25.521149,whale,SLOT_FORTUNE,292,2398325.77,8213.44441780822
P000024,5030,1788632.5,355.5929423459244,189.2277560296822,2508484.08,719850.92,336,2024-02-02 08:32:00,2024-12-30 20:36:10.715939,whale,ROULETTE_EURO,333,-719850.92,-2161.7144744744746
P000025,1077,448676.79,416.5986908077994,224.78913856248406,262260.71,-186416.11,92,2024-08-04 19:26:00,2024-12-30 20:55:33.125549,whale,SLOT_FORTUNE,149,186416.11,1251.114832214765
P000026,5427,2328255.66,429.01338861249315,221.3568793287601,1228670.05,-1099585.58,145,2024-08-04 19:29:00,2024-12-30 18:25:34.907987,whale,SLOT_FORTUNE,148,1099585.58,7429.632297297298
P000027,119,123500.0,1037.81512605042,396.8075135630766,131929.46,8429.46,9,2024-12-26 15:36:00,2024-12-30 21:52:06.656879,whale,ROULETTE_EURO,5,-8429.46,-1685.8919999999998
P000028,5062,592241.48,116.99752666930067,57.26936540694847,425098.6,-167142.66,305,2024-05-16 23:18:00,2024-12-30 17:50:31.976235,whale,SLOT_CLASSIC,228,167142.66,733.0818421052631
P000029,752,349053.83,464.1673271276596,226.03361841128984,198978.54,-150075.29,101,2024-06-18 22:49:00,2024-12-29 19:10:17.640257,whale,SLOT_FORTUNE,194,150075.29,773.583969072165
P000030,83728,30755361.52,367.32468851519207,255.57583487205414,20996628.75,-9758736.66,372,2024-01-10 00:28:00,2024-12-30 19:44:33.141139,whale,BLACKJACK_LIVE,356,9758736.66,27412.181629213483
P000031,2377,368297.57,154.94218342448465,83.83514952188558,243574.66999999998,-124722.84,118,2024-08-20 17:25:00,2024-12-30 22:25:23.984470,whale,BLACKJACK_LIVE,133,124722.84,937.7657142857142
P000032,42556,4298142.62,100.99968559075101,46.21904600879314,3059844.05,-1238305.68,326,2024-04-07 00:18:00,2024-12-30 23:34:31.651470,whale,BLACKJACK_LIVE,268,1238305.68,4620.543582089552
P000033,9325,3662413.28,392.7520943699732,180.9086999003502,2009839.01,-1652572.21,590,2024-02-02 19:36:00,2024-12-30 20:12:32.253027,whale,SLOT_FORTUNE,333,1652572.21,4962.679309309309
P000034,10106,3762846.07,372.3378260439343,253.50346820256877,2482430.17,-1280417.28,126,2024-07-22 21:00:00,2024-12-30 22:00:31.930207,whale,BLACKJACK_LIVE,162,1280417.28,7903.810370370371
P000035,97533,79789166.52,818.0735394174279,355.67233029846886,113532504.77,33743264.71,328,2024-04-14 20:40:00,2024-12-30 17:19:45.462122,whale,ROULETTE_EURO,260,-33743264.71,-129781.78734615385
P000036,3317,1197963.61,361.15876092854995,191.80095403223132,746206.92,-451756.27,85,2024-07-11 01:00:00,2024-12-29 20:12:24.057813,whale,SLOT_FORTUNE,172,451756.27,2626.489941860465
P000037,1074,616239.25,573.7795623836126,377.2567812656239,324074.93,-292164.26,78,2024-10-09 23:08:00,2024-12-30 22:44:21.052245,whale,BLACKJACK_LIVE,82,292164.26,3562.978780487805
P000038,6073,1147182.02,188.89873538613534,104.89534798189281,722349.79,-424832.61,183,2024-07-28 00:35:00,2024-12-30 19:43:37.157399,whale,BLACKJACK_LIVE,156,424832.61,2723.2859615384614
P000039,5339,1639161.16,307.016512455516,168.4156421712726,2253711.81,614552.42,274,2024-04-30 22:24:00,2024-12-30 21:42:52.657426,whale,ROULETTE_EURO,244,-614552.42,-2518.6574590163937
P000040,3179,1086123.27,341.65563699276504,172.5549225185854,600209.73,-485912.66,229,2024-08-12 22:59:00,2024-12-30 22:36:07.243406,whale,SLOT_FORTUNE,140,485912.66,3470.804714285714
P000041,3926,1477767.85,376.405463576159,184.81739228997836,646619.68,-831148.41,75,2024-07-20 20:34:00,2024-12-24 02:50:09.340159,whale,SLOT_FORTUNE,157,831148.41,5293.938917197453
P000042,9574,3428512.41,358.10658136620015,225.2533091307092,2131535.9699999997,-1296977.8,432,2024-05-17 17:16:00,2024-12-30 23:11:23.850879,whale,BLACKJACK_LIVE,228,1296977.8,5688.499122807018
P000043,6139,1223919.27,199.36785632839224,47.30043772997874,673569.12,-550352.2899999999,336,2024-03-29 20:52:00,2024-12-30 23:54:55.954607,whale,SLOT_FORTUNE,277,550352.2899999999,1986.831371841155
P000044,5081,950255.04,187.02126353080104,84.74090290326077,1408392.9,458142.49,18,2024-12-03 11:11:00,2024-12-29 22:01:18.338986,whale,ROULETTE_EURO,27,-458142.49,-16968.24037037037
P000045,945,389645.1,412.3228571428571,158.00551010453992,530663.4,141018.82,116,2024-10-31 19:41:00,2024-12-30 22:07:50.574154,whale,ROULETTE_EURO,61,-141018.82,-2311.7839344262297
P000046,63703,19100668.080000002,299.8393808768818,82.0707311037969,27211186.06,8110533.88,297,2024-04-06 20:31:00,2024-12-29 02:32:06.856181,whale,ROULETTE_EURO,267,-8110533.88,-30376.53138576779
P000047,496,409489.94,825.5845564516129,372.11304469655204,226324.22,-183165.75,58,2024-11-16 09:14:00,2024-12-30 10:48:18.729211,whale,BLACKJACK_LIVE,45,183165.75,4070.35
P000048,7378,3432915.86,465.2908457576579,334.5939727660213,2268292.76,-1164622.27,233,2024-08-04 21:04:00,2024-12-30 23:13:09.485373,whale,BLACKJACK_LIVE,149,1164622.27,7816.256845637584
P000049,10237,4692952.85,458.4304825632509,362.6879239978004,3007849.78,-1685104.59,250,2024-09-13 19:09:00,2024-12-30 22:52:56.204474,whale,BLACKJACK_LIVE,109,1685104.59,15459.67513761468
P000050,12819,1467971.9,114.51532100787892,90.039702576156,1039791.68,-428180.34,49,2024-12-11 00:48:00,2024-12-30 21:10:00.833860,whale,SLOT_CLASSIC,20,428180.34,21409.017
P000051,26428,2972820.1999999997,112.48752081126078,50.55692123154139,1969448.14,-1003361.8799999999,154,2024-06-26 22:31:00,2024-12-28 21:57:46.966780,whale,BLACKJACK_LIVE,185,1003361.8799999999,5423.577729729729
P000052,5138,2551550.65,496.60386337096145,343.33033203852744,1536783.67,-1014766.87,318,2024-05-16 04:11:00,2024-12-29 22:44:46.189161,whale,BLACKJACK_LIVE,228,1014766.87,4450.731885964912
P000053,40836,10678655.74,261.5010221373298,120.9591089927083,15314781.06,4636125.68,276,2024-03-22 19:50:00,2024-12-29 08:05:30.989316,whale,ROULETTE_EURO,282,-4636125.68,-16440.1619858156
P000054,26666,6373191.84,239.00066901672542,129.27291722132068,4144848.44,-2228336.04,258,2024-03-21 15:48:00,2024-12-24 05:26:17.992158,whale,BLACKJACK_LIVE,278,2228336.04,8015.59726618705
P000055,79627,66575451.74,836.0914230097832,341.2262811804009,93983057.74,27407604.71,333,2024-01-17 18:50:00,2024-12-30 19:29:37.079294,whale,ROULETTE_EURO,349,-27407604.71,-78531.81865329514
P000056,38132,4511127.92,118.30294555753697,51.456059462800596,6552534.44,2041441.8699999999,150,2024-04-22 17:43:00,2024-12-27 20:54:18.688892,whale,ROULETTE_EURO,250,-2041441.8699999999,-8165.7674799999995
P000057,11628,10523888.9,905.0472050223599,823.5659560013013,6706023.86,-3817865.04,289,2024-03-13 16:34:00,2024-12-30 21:32:37.785751,whale,BLACKJACK_LIVE,293,3817865.04,13030.256109215017
P000058,10974,4466698.08,407.02552214324766,197.834251489759,2777515.8,-1689182.72,270,2024-05-25 18:13:00,2024-12-30 22:37:42.341570,whale,SLOT_FORTUNE,220,1689182.72,7678.103272727272
P000059,13239,3883849.63,293.3642744920311,178.82025865068672,2193280.52,-1690570.08,435,2024-03-14 19:59:00,2024-12-30 22:28:06.233646,whale,SLOT_FORTUNE,292,1690570.08,5789.623561643836
P000060,1847,258516.91999999998,139.96584731997834,74.49846272836054,162323.53,-96193.22,72,2024-11-01 20:15:00,2024-12-30 22:43:14.942612,whale,BLACKJACK_LIVE,60,96193.22,1603.2203333333334
P000061,27475,3726399.97,135.62875232029117,64.00838177568632,2403151.86,-1323243.71,250,2024-04-23 12:04:00,2024-12-30 22:49:22.613382,whale,BLACKJACK_LIVE,252,1323243.71,5250.967103174603
P000062,14319,9880629.93,690.036310496543,187.1557596540134,14664420.17,4783784.71,33,2024-10-24 23:17:00,2024-12-30 05:05:21.684093,whale,ROULETTE_EURO,67,-4783784.71,-71399.77179104478
P000063,15282,10118817.96,662.1396387907342,252.77173801593895,14517256.01,4398427.25,107,2024-08-17 05:12:00,2024-12-30 02:02:31.754484,whale,ROULETTE_EURO,135,-4398427.25,-32580.942592592593
P000064,781,624496.12,799.6109090909091,308.86567327274156,913569.48,289074.02999999997,140,2024-07-11 12:54:00,2024-12-30 21:28:22.854696,whale,ROULETTE_EURO,173,-289074.02999999997,-1670.9481502890171
P000065,12726,3638711.42,285.9273471632878,78.9527636964762,5254706.72,1616003.4,86,2024-09-01 20:48:00,2024-12-30 01:36:03.020326,whale,ROULETTE_EURO,120,-1616003.4,-13466.695
P000066,6496,2420994.58,372.6900523399015,195.1357397039428,3215218.12,794221.0599999999,111,2024-06-01 20:11:00,2024-12-21 19:34:05.737795,whale,ROULETTE_EURO,203,-794221.0599999999,-3912.4190147783247
P000067,4253,1959700.0,460.78062544086526,286.4033168571174,1233184.06,-726515.9400000001,203,2024-04-30 21:42:00,2024-12-30 23:33:33.567250,whale,SLOT_FORTUNE,245,726515.9400000001,2965.3711836734697
P000068,3924,2979624.83,759.3335448521916,170.37005621694084,4437482.23,1457858.55,7,2024-12-10 18:00:00,2024-12-31 01:53:23.170156,whale,ROULETTE_EURO,21,-1457858.55,-69421.83571428571
P000069,1718,766262.87,446.02029685681026,174.85376027804296,422310.28,-343952.74,131,2024-09-07 20:07:00,2024-12-30 22:01:51.641977,whale,SLOT_FORTUNE,115,343952.74,2990.893391304348
P000070,36707,4291046.4,116.89994823875556,90.2020887864762,3278224.36,-1012823.4,155,2024-07-03 18:51:00,2024-12-22 20:13:59.149892,whale,SLOT_CLASSIC,173,1012823.4,5854.470520231214
