date,game_id,cumulative_player_base,daily_active_users,gross_daily_revenue,daily_payout,daily_ggr,total_bets,active_players,total_wagered,total_won,gross_gaming_revenue,total_sessions,hold_percentage,avg_bet_size,bets_per_player,game_type,theoretical_rtp,volatility,visual_engagement
2024-01-01,G001,19,5,394.03999999999996,228.98,165.03000000000014,109,5,394.03999999999996,228.98,-165.03000000000014,5,41.88153486955643,3.6150458715596328,21.8,slot,0.96,high,0.85
2024-01-01,G002,19,6,15784.969999999996,5976.360000000002,9808.619999999999,89,6,15784.969999999996,5976.360000000002,-9808.619999999999,6,62.13898410956753,177.35921348314602,14.833333333333334,table,0.995,low,0.7
2024-01-01,G003,19,3,1432.980000000005,1331.5700000000008,101.29000000000005,98,3,1432.980000000005,1331.5700000000008,-101.29000000000005,3,7.068486650197469,14.622244897959234,32.666666666666664,table,0.973,medium,0.65
2024-01-01,G004,19,6,1374.569999999998,745.0900000000003,629.5400000000008,193,6,1374.569999999998,745.0900000000003,-629.5400000000008,6,45.79904988469134,7.122124352331595,32.166666666666664,slot,0.94,medium,0.6
2024-01-02,G001,42,10,4013.129999999994,1446.9199999999998,2566.2899999999922,449,10,4013.129999999994,1446.9199999999998,-2566.2899999999922,11,63.94734284710428,8.937928730512237,44.9,slot,0.96,high,0.85
2024-01-02,G002,42,3,2619.209999999999,1697.1300000000006,922.0800000000003,64,3,2619.209999999999,1697.1300000000006,-922.0800000000003,3,35.204508229580696,40.925156249999986,21.333333333333332,table,0.995,low,0.7
2024-01-02,G003,42,5,547.7199999999993,810.7299999999994,-263.0400000000003,357,5,547.7199999999993,810.7299999999994,263.0400000000003,5,-48.02453808515311,1.5342296918767488,71.4,table,0.973,medium,0.65
2024-01-02,G004,42,10,4851.369999999964,3146.270000000001,1705.1700000000005,607,10,4851.369999999964,3146.270000000001,-1705.1700000000005,10,35.14821586479722,7.992372322899447,60.7,slot,0.94,medium,0.6
2024-01-03,G001,53,4,3823.809999999996,1689.1500000000003,2134.6399999999976,67,4,3823.809999999996,1689.1500000000003,-2134.6399999999976,4,55.82494946140106,57.071791044776056,16.75,slot,0.96,high,0.85
2024-01-03,G002,53,8,3641.930000000002,1516.42,2125.5100000000007,105,8,3641.930000000002,1516.42,-2125.5100000000007,8,58.36218708212403,34.68504761904764,13.125,table,0.995,low,0.7
